Financial Institution,Compound Frequency,Payment Frequency,Redeemable,Redeemable Term,Minimum Deposit,1_y,2_y,3_y,4_y,5_y,6_y,quote_date,settle_date
B2B Bank,A,E,no,-,5000,4.05,3.77,3.75,3.65,3.61,,2024-09-13,2024-09-13
B2B Bank,N,A,no,-,5000,4.05,3.77,3.75,3.65,3.61,,2024-09-13,2024-09-13
Community Trust,A,E,no,-,5000,4.29,4.1,4.0,3.83,3.79,,2024-09-13,2024-09-13
Community Trust,N,A,no,-,5000,4.29,4.1,4.0,3.83,3.79,,2024-09-13,2024-09-13
Effort Trust,A,E,no,-,5000,4.1,3.7,3.7,3.5,3.5,,2024-09-13,2024-09-13
Effort Trust,N,A,no,-,5000,4.1,3.7,3.7,3.5,3.5,,2024-09-13,2024-09-13
Equitable Bank,A,E,no,-,5000,4.11,3.93,3.83,3.72,3.72,,2024-09-13,2024-09-13
Equitable Bank,N,A,no,-,5000,4.11,3.93,3.83,3.72,3.72,,2024-09-13,2024-09-13
Equitable Bank,N,A,cashable,30 days,5000,3.25,,,,,,2024-09-13,2024-09-13
FirstOntario CU,A,E,no,-,5000,4.06,3.8,3.76,3.65,3.61,,2024-09-13,2024-09-13
FirstOntario CU,N,A,no,-,5000,4.06,3.8,3.76,3.65,3.61,,2024-09-13,2024-09-13
General Bank of Canada,A,E,no,-,5000,4.16,3.9,3.81,3.66,3.71,,2024-09-13,2024-09-13
General Bank of Canada,N,A,no,-,5000,4.16,3.9,3.81,3.66,3.71,,2024-09-13,2024-09-13
Haventree Bank,A,E,no,-,5000,4.22,3.99,3.91,3.83,3.79,,2024-09-13,2024-09-13
Haventree Bank,N,A,no,-,5000,4.22,3.99,3.91,3.83,3.79,,2024-09-13,2024-09-13
Home Trust Company-Agent,A,E,no,-,5000,4.0,3.8,3.75,3.67,3.62,,2024-09-13,2024-09-13
Home Trust Company-Agent,N,A,no,-,5000,4.0,3.8,3.75,3.67,3.62,,2024-09-13,2024-09-13
Home Trust Company-Agent,N,A,cashable,30 days,5000,3.35,,,,,,2024-09-13,2024-09-13
Home Trust Company-Agent,N,A,cashable,90 days,5000,3.45,,,,,,2024-09-13,2024-09-13
ICICI Bank Canada,A,E,no,-,5000,3.94,3.7,3.65,3.55,3.55,,2024-09-13,2024-09-13
ICICI Bank Canada,N,A,no,-,5000,3.94,3.7,3.65,3.55,3.55,,2024-09-13,2024-09-13
League Savings & Mort,A,E,no,-,5000,4.23,3.99,3.92,3.8,3.77,,2024-09-13,2024-09-13
League Savings & Mort,N,A,no,-,5000,4.23,3.99,3.92,3.8,3.77,,2024-09-13,2024-09-13
MCAN Mortgage Corp.,A,E,no,-,5000,2.0,2.0,2.0,2.0,2.0,,2024-09-13,2024-09-13
MCAN Mortgage Corp.,N,A,no,-,5000,2.0,2.0,2.0,2.0,2.0,,2024-09-13,2024-09-13
Manulife Bank,A,E,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-13,2024-09-13
Manulife Bank,N,A,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-13,2024-09-13
Manulife Trust,A,E,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-13,2024-09-13
Manulife Trust,N,A,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-13,2024-09-13
NatCan Trust Agent Ser.,A,E,no,-,5000,3.7,3.5,3.45,3.45,3.5,,2024-09-13,2024-09-13
NatCan Trust Agent Ser.,N,A,no,-,5000,3.7,3.5,3.45,3.45,3.5,,2024-09-13,2024-09-13
NatCan Trust Agent Ser.,N,A,cashable,30 days,5000,3.15,,,,,,2024-09-13,2024-09-13
National Bank Agent Ser,A,E,no,-,5000,3.7,3.5,3.45,3.45,3.5,,2024-09-13,2024-09-13
National Bank Agent Ser,N,A,no,-,5000,3.7,3.5,3.45,3.45,3.5,,2024-09-13,2024-09-13
National Bank Agent Ser,N,A,cashable,30 days,5000,3.15,,,,,,2024-09-13,2024-09-13
RFA Bank of Canada,A,E,no,-,5000,,3.98,3.9,3.0,3.0,,2024-09-13,2024-09-13
RFA Bank of Canada,N,A,no,-,5000,4.23,3.98,3.9,3.0,3.0,,2024-09-13,2024-09-13
RFA Bank of Canada,N,A,cashable,90 days,5000,3.0,,,,,,2024-09-13,2024-09-13
